Year,Country Name,Population,GDP,Electric power consumption,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,Total CO2 emissions
2003,Russian Federation,144648618,430347420184.8851,5478.130458183845,90.90480707600436,3.3,11.00351667,1.588833333333333,0.9596640760645824,224.53,0.1,1737.2524
2004,Russian Federation,144067316,591016690732.3846,5633.845500390942,90.67398897965874,3.5,11.41977633324055,0.99775,1.169634211,225.73,0.21,1738.8704
2005,Russian Federation,143518814,764015973481.1102,5770.100636422483,90.68245447,3.6,11.79264417,1.901916666666667,1.112482768281029,217.45,0.19,1739.3021
2006,Russian Federation,143049637,989932071352.5432,6098.533476180719,90.60676977928486,3.5,12.48071133630546,0.72375,1.542762140069989,226.12,0.51,1776.1969
2007,Russian Federation,142805114,1299703478481.653,6286.049391760578,90.5376491,3.7,14.25312978103871,2.454166666666667,1.696117470053953,218.03,0.89,1779.046
2008,Russian Federation,142742366,1660848058303.114,6399.683749112019,90.96162444674545,3.3,15.88274461771161,2.12675,1.496101607790505,220.55,0.47,1764.3555
2009,Russian Federation,142785348,1222645900055.696,6095.380318714494,90.20404927454018,3.6,15.63506481763105,0.8410833333333333,1.173880350116181,222.42,0.39,1662.1017
2010,Russian Federation,142849468,1524916715223.946,6409.894365164874,89.88945165571705,3.3,15.72450246200133,0.9530833333333332,1.454206281695352,220.43,2.49,1746.8968
2011,Russian Federation,143018195,2045922753398.036,6483.161111074014,91.69254756124228,3.2,16.18722718641337,1.997583333333333,1.287998153358752,217.26,0.61,1832.6123
2012,Russian Federation,143378447,2208293553878.424,6608.977986768123,92.74488818529136,3.2,15.43358350664617,1.539916666666667,1.219072834735025,217.07,0.65,1819.802
2013,Russian Federation,143805638,2292470078346.224,6525.627319284937,92.63988784,3.6,15.29827618804922,1.681166666666667,1.828573571272306,221.41,0.13,1764.2472
2014,Russian Federation,144237223,2059241589895.015,6583.543278561318,92.7856117,3.3,15.90050062063806,1.548416666666667,1.597857547798162,225,0.51,1750.1989
2015,Russian Federation,144640716,1363482182197.705,6563.387034118387,92.72346257348026,3.2,16.66261128328223,2.338666666666667,1.422657685070056,221.77,0.68,1757.1139
2016,Russian Federation,145015460,1276786350881.137,6683.604630844187,92.71632070287656,3.4,18.68718197436888,2.1625,1.700767204332601,220.99,0.62,1734.6382
2017,Russian Federation,145293260,1574199360089.002,6734.187119209797,92.74179832492341,3.2,20.32828876521796,2.374416666666667,1.955199071634963,226.34,0.58,1763.2401
2018,Russian Federation,145398106,1657328773461.306,6873.349505666875,92.72719386709342,3.2,20.81411273417784,1.800333333333333,1.053435358982959,221.27,0.45,1831.1328
2019,Russian Federation,145453291,1693115002708.316,6902.449529313159,92.72843763163114,3.2,22.59144752525709,2.347166666666667,1.290368347497032,220.63,0.38,1858.002
2020,Russian Federation,145245148,1493075894362.143,6770.332871979999,92.73247660788265,3.7,25.32781198,3.540416666666667,2.002788117364279,210.97,0.8,1784.1991
