country,feature_set,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,min_child_weight,random_state,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,100,10,0.1,0.8,1.0,5.0,0.0,1,42,True,,5,5,0,0.17160428011948045,0.17160428011948045,-1.822560625293112,0.15148518687141874,0.15148518687141874,-1.8284533956399762,7.406862686270412,-6.406862686270412,-5.934250910159375
Canada,augmented,100,10,0.1,1.0,0.8,5.0,0.0,1,42,True,,5,5,0,0.16882128195742227,0.16882128195742227,-1.9413781134010357,0.151580019763457,0.151580019763457,-1.9376135604842784,6.966423942720667,-5.966423942720665,-5.245306507797825
Canada,augmented,150,10,0.05,0.8,1.0,0.0,0.1,1,42,True,,5,5,0,0.17292307442361618,0.17292307442361618,-2.020527366976519,0.151616341343867,0.151616341343867,-2.0284028243642,8.10192970434478,-7.101929704344779,-5.799188952090139
Canada,augmented,150,10,0.1,1.0,1.0,0.0,0.0,3,42,True,,5,5,0,0.16726716155385735,0.16726716155385735,-1.9924501377416974,0.1522497890271929,0.1522497890271929,-1.8064724026989214,4.58315491161735,-3.58315491161735,-2.6934915285565855
Canada,augmented,150,10,0.1,0.8,1.0,0.0,0.1,1,42,True,,5,5,0,0.17208849594662684,0.17208849594662684,-2.0198986096355176,0.15246498594318553,0.15246498594318553,-2.0264395749518505,8.070616131443433,-7.070616131443432,-6.261614164580096
Canada,augmented,100,10,0.1,0.8,1.0,0.0,0.1,1,42,True,,5,5,0,0.17219491572352444,0.17219491572352444,-2.0192463130600737,0.15257882038389367,0.15257882038389367,-2.025772117295158,8.070885605156345,-7.070885605156344,-6.282518831466146
Canada,augmented,100,10,0.1,1.0,1.0,0.0,0.0,3,42,True,,5,5,0,0.16898512005008526,0.16898512005008526,-2.0239262325773337,0.1541001019113914,0.1541001019113914,-1.8608762823645815,4.846266706901184,-3.846266706901184,-2.8110923480606798
Canada,augmented,150,10,0.1,0.8,1.0,0.0,0.0,3,42,True,,5,5,0,0.17440200105592582,0.17440200105592582,-2.057730880457945,0.1555089945023774,0.1555089945023774,-1.937074184189671,5.960495309450814,-4.960495309450814,-4.1297065960015065
Canada,augmented,150,10,0.05,1.0,1.0,0.0,0.0,3,42,True,,5,5,0,0.17100097571033976,0.17100097571033976,-2.0684943071344772,0.15595278986606123,0.15595278986606123,-1.932833421875311,5.452332074265778,-4.452332074265778,-3.1092046140443257
Canada,augmented,150,10,0.1,1.0,0.8,10.0,0.0,1,42,True,,5,5,0,0.17259867593598727,0.17259867593598727,-2.111205724988208,0.15605655169142224,0.15605655169142224,-2.1032291634912577,7.532696758453966,-6.532696758453966,-6.000205773064653
Canada,augmented,150,10,0.1,0.8,1.0,1.0,0.1,1,42,True,,5,5,0,0.17557450103249422,0.17557450103249422,-2.0037690511951074,0.1563190476063363,0.1563190476063363,-2.0077988764661012,8.062081379619443,-7.062081379619443,-6.954393689958143
Canada,augmented,150,10,0.05,1.0,1.0,1.0,0.0,3,42,True,,5,5,0,0.16983402449091767,0.16983402449091767,-2.1361507279847762,0.15633991245208123,0.15633991245208123,-2.0300722854475106,6.207042344738835,-5.207042344738835,-2.726654544809804
Canada,augmented,100,10,0.05,0.8,1.0,0.0,0.1,1,42,True,,5,5,0,0.1787212992915534,0.1787212992915534,-2.067177811995855,0.15751825543378514,0.15751825543378514,-2.0756941310467245,8.362138942109224,-7.362138942109224,-6.331197139407063
Canada,augmented,100,10,0.1,0.8,1.0,1.0,0.1,1,42,True,,5,5,0,0.17760921328733642,0.17760921328733642,-2.0233939777549317,0.15797932679091614,0.15797932679091614,-2.0293453549175062,8.15735777664361,-7.157357776643609,-7.115244945310056
Canada,augmented,50,10,0.1,0.8,1.0,0.0,0.1,1,42,True,,5,5,0,0.1786297441004618,0.1786297441004618,-2.074791980852207,0.15802647220228833,0.15802647220228833,-2.0868385351232375,8.379053767538682,-7.379053767538681,-6.956580934090399
Canada,augmented,150,10,0.1,0.8,0.8,0.0,0.0,3,42,True,,5,5,0,0.1744283418749657,0.1744283418749657,-2.2808545870831916,0.1595704923014138,0.1595704923014138,-2.1597055100272504,5.7705746154707835,-4.7705746154707835,-4.201692093866882
Canada,augmented,100,10,0.05,1.0,1.0,0.0,0.0,3,42,True,,5,5,0,0.17513289548210748,0.17513289548210748,-2.157525946282545,0.15966874055906505,0.15966874055906505,-2.0743922688803274,6.683062977336161,-5.68306297733616,-3.435769121697281
Canada,augmented,50,10,0.1,1.0,1.0,0.0,0.0,3,42,True,,5,5,0,0.1758967206914276,0.1758967206914276,-2.144948860148788,0.16024561759426564,0.16024561759426564,-2.059221907386214,6.562603954369948,-5.562603954369949,-3.332703494920736
