country,feature_set,p,d,q,trend,seasonal_order,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,baseline,1,0,1,c,"(0, 0, 0, 0)",True,,5,5,0,0.15367083158024192,0.15367083158024192,-1.1595437801310613,0.13315189510313635,0.13315189510313635,-0.9351419908376183,10.120482296097794,-9.120482296097794,-3.6771938719745507
Canada,baseline,2,0,3,c,"(0, 0, 0, 0)",True,,5,5,0,0.16226022369816748,0.16226022369816748,-1.067838970226113,0.1408513506679108,0.1408513506679108,-0.9000485613765541,8.2322114613691,-7.2322114613691,-6.411531718260543
Canada,baseline,1,0,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.17212290873767694,0.17212290873767694,-0.8559825218045669,0.14225641836298816,0.14225641836298816,-0.684004150392108,8.238809679360479,-7.238809679360479,-4.521242228424738
Canada,baseline,2,1,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.17051799629619752,0.17051799629619752,-2.007603019258503,0.1473369372642503,0.1473369372642503,-1.6247704003777463,6.330783062470048,-5.330783062470048,-2.6104455881368946
Canada,baseline,0,0,3,c,"(0, 0, 0, 0)",True,,5,5,0,0.1615338674532488,0.1615338674532488,-1.0927652338153822,0.14935304092123328,0.14935304092123328,-0.9935012676171466,4.726809651249494,-3.7268096512494937,-2.8462988853723714
Canada,baseline,0,0,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.17057187275437133,0.17057187275437133,-1.136801144773513,0.15240453715291297,0.15240453715291297,-1.062180796865036,8.43411563778335,-7.43411563778335,-3.7354702479339226
Canada,baseline,1,1,0,n,"(0, 0, 0, 0)",True,,5,5,0,0.1903396754503193,0.1903396754503193,-1.8927633918212439,0.15371292256623317,0.15371292256623317,-1.3899282868479106,9.27512334307703,-8.27512334307703,-3.965766900649625
Canada,baseline,3,0,1,c,"(0, 0, 0, 0)",True,,5,5,0,0.17991562234280142,0.17991562234280142,-1.1097205629115812,0.15443626002154126,0.15443626002154126,-1.070857179721652,7.4726213025669725,-6.4726213025669725,-5.675572187127441
Canada,baseline,0,1,0,n,"(0, 0, 0, 0)",True,,5,5,0,0.1774447359186534,0.1774447359186534,-2.2525157721649647,0.15520781617062013,0.15520781617062013,-1.812084255930682,1.4059048955145377,-0.4059048955145377,-2.794333556226216
Canada,baseline,0,0,1,c,"(0, 0, 0, 0)",True,,5,5,0,0.18526497453034746,0.18526497453034746,-1.6127478329505132,0.15581565497456631,0.15581565497456631,-1.539066443127845,9.102202934565826,-8.102202934565826,-3.9369613202991873
Canada,baseline,2,1,2,n,"(0, 0, 0, 0)",True,,5,5,0,0.1844904766421652,0.1844904766421652,-1.8117699592378191,0.15585904241409457,0.15585904241409457,-1.4181258172008764,5.253847424531974,-4.253847424531974,-4.370508633049262
Canada,baseline,0,0,0,c,"(0, 0, 0, 0)",True,,5,5,0,0.18784788778184863,0.18784788778184863,-1.682077054296638,0.15621795988646509,0.15621795988646509,-1.2244204649425716,0.7022127675150525,0.29778723248494765,-3.7999640311859095
Canada,baseline,0,1,1,n,"(0, 0, 0, 0)",True,,5,5,0,0.1938040863323781,0.1938040863323781,-1.7936805951295303,0.1567897391275363,0.1567897391275363,-1.3332966308756915,7.738162823958914,-6.738162823958914,-3.440716594191598
Canada,baseline,3,0,0,c,"(0, 0, 0, 0)",True,,5,5,0,0.1731391415607743,0.1731391415607743,-1.0959584920675247,0.15831419608159258,0.15831419608159258,-0.9493183690362337,7.33908534278226,-6.33908534278226,-3.228182161325944
Canada,baseline,1,1,0,c,"(0, 0, 0, 0)",True,,5,5,0,0.19428806038569435,0.19428806038569435,-1.8785008569228079,0.15867767805609095,0.15867767805609095,-1.4415082793956078,9.252881204811269,-8.252881204811269,-3.9344987569140826
Canada,baseline,3,1,1,n,"(0, 0, 0, 0)",True,,5,5,0,0.18520202283118065,0.18520202283118065,-2.266284546917073,0.15867991596002431,0.15867991596002431,-1.7813954128125897,4.783418203297958,-3.783418203297958,-3.835974984616866
Canada,baseline,3,0,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.17914138857068662,0.17914138857068662,-1.1201735023340933,0.1589300066898301,0.1589300066898301,-1.1323109534931297,7.9741008008421845,-6.9741008008421845,-4.317610930366812
Canada,baseline,2,0,3,n,"(0, 0, 0, 0)",True,,5,5,0,0.1875298492202348,0.1875298492202348,-1.0444942181922308,0.16436724094334876,0.16436724094334876,-1.0053169963274058,8.3211863138026,-7.321186313802601,-8.362260822635523
